task_id,question,query_sha256,answer_words
JNJ_20210222,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",942e332ea0980a2de59bb5eb5fe00fd9e7a6485d23bb3277cee987836b3c6d4f,35
JNJ_20210222,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",ef0151815c045331836ae855ba70ae06386d506e748a740cf8ff0ba0beff116e,27
JNJ_20210222,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",c829f65cde5c5cc08ec15cfe03f53926c642fd84ac676bf95da36815d647ecbc,53
JNJ_20210222,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",7195e2f6ffff603faefc1733f58e6f19018be43fd39b69db479ebcdd98a06c66,21
JNJ_20210430,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",7b4363b05c9e2808c0179d3fba1a42b3a48bf47a893066a31cabdb9a8c370a64,107
JNJ_20210430,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",888a8ee29ee0d6dad23976482b1c699818fed916dbf56a370dfe91afc1f20cd0,68
JNJ_20210430,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",5bc685186ccaf202950731b7f86ef608946653fe98c0362776f90fc0bf280c92,5
JNJ_20210430,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",b609332401bb7a810d314a6e35df45d186034f879e163cd77b694a678cc76f5a,47
UVV_20200528,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",4b0f984995e26d5783813817a875901e7515ee51476f0e3303d47542834f88c6,31
UVV_20200528,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",515a73ed47492708e0e9204d0533de94da74c56ddd340b9aac15584c7ba9d32d,28
UVV_20200528,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",b56ebbee598dfe10e4e9d97817e9c1dd77b2313cde132e326ee234120171614d,50
UVV_20200528,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",63c6a12e992b533d0fa2817562e0011319f84f029ca2e3480364cce751f990dc,15
UVV_20200805,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",c3abffc95978506734fbb5e051558e227d48668a7112ad3e37b9ba216be5ab32,67
UVV_20200805,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",02ffbe37aab5c5ff4542f4731a21542334cc3d9a541f27461ef48ca95b213640,31
UVV_20200805,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",da1209d9192ff845c6fe93bf4ea4a306e4c12707fe9b1c477f7aad99c1530f43,77
UVV_20200805,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",e53bba39d3e7f2ddc3af0fe5b324141d19357a2e3de13ab08babe6163d120e24,5
UVV_20201105,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",c85f601895d61948df4a4f2130d1a4598cc3a4a7be8be1d1855dbbb6271f317e,101
UVV_20201105,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",4d3237989acf334fe0313feb520136a67e38af07adddeb86a351b1bbfabf46ed,31
UVV_20201105,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",24a766998aa07041934de602c0ff6506b86f15a7539290e912c8bc6c737f6b35,57
UVV_20201105,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",b9e3006fbfe69d46bb4e7a2c28971775948d26cb1a5f6ebb939744e511d47e4c,5
UVV_20210208,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",39e855f5812d97b28a1c5eb1a3afdb67d8b01c8bb08a51c37af8dd1189e526ce,75
UVV_20210208,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",cc9c87aae908a3464353ee4246ab7e169f595a20014fa93da46ea673218e0bda,26
UVV_20210208,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",2363a964639afdaaee3b56c6f17f047e84b8299c93bb409d0beb943e6b0e84f4,74
UVV_20210208,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",9b9f16c519bcf4eb7df1468ba4772364d3005d565c1b0fb7585fa3735287f9b1,5
